[2025-07-31 06:00:00.000] INFO  SensorHub: Init complete. Firmware v2.0.1
[2025-07-31 06:00:00.000] DEBUG ADC[id=1001]: Temperature sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1002]: Temperature sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1003]: Temperature sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1004]: Temperature sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1005]: Temperature sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1006]: Moisture sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1007]: Moisture sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1008]: Moisture sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1009]: Moisture sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1010]: Moisture sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1011]: Light sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1012]: Light sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1013]: Light sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1014]: Light sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1015]: Light sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1016]: Humidity sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1017]: Humidity sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1018]: Humidity sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1019]: Humidity sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1020]: Humidity sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1021]: Co2 sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1022]: Co2 sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1023]: Co2 sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1024]: Co2 sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1025]: Co2 sensor #5 initialized
[2025-07-31 06:00:05.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=26.0C, Moisture=45.4%, Light=536lux, Humidity=48.6%, CO2=677ppm
[2025-07-31 06:00:05.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.0C, Moisture=41.9%, Light=504lux, Humidity=64.5%, CO2=724ppm
[2025-07-31 06:00:05.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.7C, Moisture=47.2%, Light=563lux, Humidity=61.7%, CO2=766ppm
[2025-07-31 06:00:05.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=22.8C, Moisture=35.2%, Light=579lux, Humidity=56.3%, CO2=498ppm
[2025-07-31 06:00:05.000] WARN  MoistureMonitor[id=1009]: Moisture dropped to 35.2%
[2025-07-31 06:00:05.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=25.3C, Moisture=35.1%, Light=511lux, Humidity=48.4%, CO2=780ppm
[2025-07-31 06:00:05.000] WARN  MoistureMonitor[id=1010]: Moisture dropped to 35.1%
[2025-07-31 06:00:05.000] ERROR PumpCtrl[id=2002]: Irrigation pump failed to start
[2025-07-31 06:00:05.000] DEBUG SensorHub: Retrying pump startup...
[2025-07-31 06:00:05.000] INFO  PumpCtrl[id=2002]: Pump started successfully after retry
[MALFORMED LINE NO TIMESTAMP OR FORMAT]
[2025-07-31 06:00:10.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.6C, Moisture=35.2%, Light=636lux, Humidity=68.7%, CO2=781ppm
[2025-07-31 06:00:10.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.6C, Moisture=43.9%, Light=547lux, Humidity=56.1%, CO2=493ppm
[2025-07-31 06:00:10.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.6C, Moisture=35.3%, Light=666lux, Humidity=51.8%, CO2=627ppm
[2025-07-31 06:00:10.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=22.9C, Moisture=47.7%, Light=618lux, Humidity=45.6%, CO2=557ppm
[2025-07-31 06:00:10.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.5C, Moisture=45.3%, Light=506lux, Humidity=63.4%, CO2=543ppm
[2025-07-31 06:00:15.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.9C, Moisture=40.0%, Light=636lux, Humidity=56.4%, CO2=464ppm
[2025-07-31 06:00:15.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.0C, Moisture=40.4%, Light=694lux, Humidity=49.0%, CO2=791ppm
